Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69743822,Elly,Medium,Female,Baby,Yellow,Parson Russell Terrier
69743823,Gracie - Local Dec 15-17,Medium,Female,Baby,,Ibizan Hound
69743824,Aspen (Sampson),Large,Male,Adult,White,Siberian Husky
69743825,Kandy,Medium,Female,Baby,White,Parson Russell Terrier
69743832,ELSIE,Medium,Female,Young,,Labrador Retriever
69743833,Clipper,Large,Female,Baby,Tricolor,Australian Shepherd
69743835,Magnolia,Large,Female,Young,,Ibizan Hound
69743840,Wren,Large,Female,Young,White,Great Pyrenees
69743849,Lionel,Small,Male,Young,Yellow,Pug
69743851,Clayton,Medium,Male,Baby,White,Ibizan Hound
69743852,Moke JE*,Medium,Male,Baby,Yellow,Parson Russell Terrier
69743853,Marco,Large,Male,Adult,,Australian Cattle Dog
69743856,Jemma,Small,Female,Adult,Tricolor,Chihuahua
69743859,Ralphie,Small,Male,Adult,Tricolor,Standard Schnauzer
69743861,Chance ,Large,Male,Baby,Apricot,German Shepherd
69743864,Dolla,Medium,Female,Baby,Tricolor,Labrador Retriever
69743873,Sydney Sue,Large,Female,Young,Red,Labrador Retriever
69743877,Fitz,Medium,Male,Adult,,Rottweiler
69743882,Malani JE*,Medium,Female,Baby,Yellow,Parson Russell Terrier
69743893,Frankfurter,Medium,Male,Young,Apricot,American Staffordshire Terrier
69743905,Meeps - Local Dec 15-17,Small,Male,Baby,,Wire Fox Terrier
69743908,Nelson,Medium,Male,Young,Bicolor,Basenji
69743920,Truffle ,Large,Female,Baby,White,Ibizan Hound
69743928,Malani JE*,Medium,Female,Baby,Yellow,Parson Russell Terrier
69743930,Pebbles,Large,Female,Adult,,Bull Terrier
69743932,Yertle,Medium,Female,Baby,Black,Labrador Retriever
69743938,Beauty,Medium,Male,Adult,,Bull Terrier
69743948,Johnny Cash,Small,Male,Adult,Brown,Chihuahua
69743958,Paul Rodgers,Small,Male,Young,Tricolor,Pug
69743962,54815495,Medium,Female,Baby,Black,Australian Shepherd
69743965,LILLY,Medium,Female,Baby,Sable,Parson Russell Terrier
69743967,Luna,Medium,Female,Baby,Tricolor,Beagle
69743969,Lorax,Medium,Female,Baby,Black,Labrador Retriever
69743974,Clyde,Extra Large,Male,Baby,,Great Dane
69743978,Cygnet,Small,Female,Young,White,Pug
69744007,Tulip,Large,Female,Young,,Labrador Retriever
69744008,Orange,Large,Female,Baby,Apricot,Golden Retriever
69744009,Tesni,Small,Female,Young,Yellow,Pug
69744014,Scrappy,Medium,Male,Young,Apricot,Parson Russell Terrier
69744015,Lucinda,Medium,Female,Young,Tricolor,Ibizan Hound
69744020,Nicholas,Medium,Male,Baby,Yellow,Labrador Retriever
69744024,Enzo,Extra Large,Male,Adult,Brindle,Mastiff
69744025,Dash,Medium,Male,Baby,White,Labrador Retriever
69744027,SAMPSON-SPECIAL NEEDS *BLIND*,Medium,Male,Baby,Gray,Bull Terrier
69744028,Andi,Medium,Female,Young,Black,Whippet
69744052,Woody,Large,Male,Adult,Red,Australian Cattle Dog
69744053,Pear,Large,Female,Baby,Apricot,Golden Retriever
69744054,0472 Banks,Medium,Male,Adult,Tricolor,Australian Shepherd
69744077,ROMEO,Medium,Male,Young,,Labrador Retriever
69744083,MILES,Medium,Male,Young,,Bull Terrier
69744084,GANACHE,Small,Male,Young,,German Shepherd
69744089,ARLO,Large,Male,Adult,,Border Collie
69744101,Lady Gaga Pup - Joanne,Medium,Female,Baby,,Labrador Retriever
69744102,Sebec Pup - Greely,Medium,Female,Baby,,Australian Shepherd
69744103,Lady Gaga Pup - Stefani,Medium,Female,Baby,,Labrador Retriever
69744104,Lady Gaga Pup - Angelina,Medium,Female,Baby,,Labrador Retriever
69744105,Sebec Pup - Blanchard,Medium,Female,Baby,,Australian Shepherd
69744121,Jax,Medium,Male,Young,Red,English Foxhound
69744123,CHERRY,Small,Female,Young,,Pug
69744124,LuLu,Small,Female,Adult,Brown,Chihuahua
69744133,Lucy AG,Medium,Female,Baby,White,Parson Russell Terrier
69744135,Irene,Small,Female,Adult,Yellow,Pug
69744158,Stan,Medium,Male,Baby,Yellow,Labrador Retriever
69744173,Selene,Small,Female,Young,Yellow,Pug
69744174,Aila,Small,Female,Young,,Chihuahua
69744185,Ruby,Medium,Female,Baby,Black,Great Pyrenees
69744188,Oatchi,Medium,Female,Young,Harlequin,Cavalier King Charles Spaniel
